psc,naics,description,0
6640,334516.0,"GOVERNMENT SCIENTIFIC SOURCE:1108892; REPLACES REQUISITION 5610847: 10X GENOMICS, INC:  POTS 20-003723 - INVOICE AND PAYMENT PROVISIONS  THE FOLLOWING INVOICE AND PAYMENT PROVISIONS CLAUSE IS APPLICABLE TO ALL PURCHASE ORDERS, TASK/DELIVERY ORDERS",1
Z2KA,237990.0,IGF::OT::IGF 2018 RIVETS MOD 1G,1
R428,541690.0,"VENDOR TO PROVIDE INDUSTRIAL HYGIENE SURVEY SERVICES IN ACCORDANCE WITH THE PERFORMANCE WORK STATEMENT (PWS) FOR ARNG CALLAWAY, BONIFAY, PENSACOLA, PANAMA CITY, LAKE CITY, TALLAHASSEE, QUINCY, CRESTVIEW, CHIPLEY AND MARIANNA ARMORIES",1
C219,541370.0,GUARANTEED AMOUNT FOR BASE YEAR,1
6625,334515.0,"OSCILLOSCOPE, PROBE AND POWER MODULES FOR THE SYSTEM SIMULATION, SOFTWARE&INTEGRATION DIRECTORATE.",1
7050,541519.0,THIS IS A NO COST MODIFICATION. THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE.,1
R425,334220.0,"INCREMENTAL FUNDING OBLIGATION OF CLIN 5001, DEOBLIGATION OF CLIN 3001 TO CORRECT FUNDING INFO, ADMINISTRATIVE MOD TO CLARIFY POP INFORMATION",1
J016,334511.0,REPAIR OF THE MULTI-FUNCTION DISPLAYA (MFDS) AND ENGINE DATA CONCENTRATOR UNITS (EDCUS) USED ON THE TH-1H HELICOPTERS.,1
5975,423610.0,BUY DIFFERENT TYPES OF LIGHT BULBS FOR DIFFERENT RESIDENCES.,1
J099,811310.0,REMEDIAL MAINTENANCE (RM) OF THE REVERSE OSMOSIS SYSTEMS,1
D310,541519.0,ISSUE A TASK ORDER UNDER THE INFORMATION SYSTEM SECURITY OFFICER BLANKET PURCHASE AGREEMENT (BPA) IN ORDER TO MEET STANDARDS AND SECURITY REQUIREMENTS IN ORDER TO CONTINUE MOVING FORWARD IN THE PROCESS OF OBTAINING THE FULL AUTHORIZATION TO OPERATE (,1
5680,423610.0,4560057895!FAN VENTILATOR,1
6515,541519.0,UPGRADE TO EXISTING PHILIPS PATIENT MONITORING AND TELEMETRY SYSTEMS,1
D302,541511.0,"THE DEFENSE INFORMATION SYSTEMS AGENCY (DISA), RESOURCE MANAGEMENT (RM), ACCOUNTING INTEGRATION BRANCH, REQUIRES COMMAND, CONTROL, COMMUNICATIONS AND COMPUTER SYSTEMS (C4S) SUPPORT SERVICES IN AREAS WHERE THE GOVERNMENT LACKS THE RESOURCES REQUIRED FOR THE SUCCESSFUL DEVELOPMENT AND MAINTENANCE OF APPLICATION PROGRAMS SUPPORTING THE TELECOMMUNICATIONS SERVICES ENTERPRISE ACQUISITION SERVICES (TSEAS) DYNAMIC C4S REQUIREMENTS.  DISA/RM CURRENTLY REQUIRES TECHNICAL SUPPORT IN THE ONGOING MAINTENANCE OF THE TIB",1
5680,423610.0,"4549038372!, PERISHABLE FILTERS, 17X52X1",1
Z2AA,236220.0,MODIFICATION IS ISSUED TO EXTEND COMPLETION DATE FROM 10/30/2021 TO 11/15/2021 DUE TO RESCHEDULING TO AVOID NOISE IN ROOMS 1041 AND 1218.,1
7A21,541519.0,"RENEW LICENSES FOR JIRA.  JIRA IS A WORK MANAGEMENT TOOL FOR ALL TYPES OF USE CASES, FROM REQUIREMENTS AND TEST CASE MANAGEMENT TO AGILE SOFTWARE DEVELOPMENT.",1
R710,522390.0,"THE PURPOSE OF THIS MODIFICATION IS TO AMEND THE PRICING STRUCTURE OF THE CONTRACT, TO INCLUDE OGC'S FOR CHANGE REQUEST (CR) 6051 - CREDIT REPORTING OF TRANSFERRED LOANS.",1
7510,325992.0,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CE253AG (HP 504A) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP COLOR LASERJET CP3525 AND CM3530 MFP PRINTERS AND ANY OTHER PRIN",1
D307,541519.0,"EO 14042 MOD 4 ADD FAR CLAUSE 52.223-99 DEVIATION MOD 3 DEOBLIGATE MINIMUM GUARANTEE. MOD 2 CHANGE CO, REMOVE ALTERNATE CO, INCORPORATE FAR CLAUSE 52.204-25. MOD 1 CHANGE OF CO AND ALTERNATE CO A COMMERCIAL, MULTIPLE AWARD, INDEFINITE DELIVERY, I",1
DA10,541511.0,COMPLETE PHIS OPTIMIZATION II BASE YEAR FUNDING,1
5935,334417.0,"8508438516!CONNECTOR,RECEPTACL",1
R499,541990.0,"IGF::CL::IGF TO INCREMENTALLY FUND THE AWARD BY $1,889,925 THEREBY INCREASING THE TOTAL OBLIGATION FROM $7,626,667 TO  $9,516,592. ALL OTHER ASPECTS OF THE AWARD REMAINS UNCHANGED.  RELEVANT SUPPORTING DOCUMENTS ATTACHED.",1
5680,423610.0,"4546451063!7/32"" BRONZE LAMINATED SAFETY GLASS 26 1",1
7G20,334290.0,JS VIASAT TO223 USMC  EMC2,1
5680,423610.0,4557155672!CONCRETE READY MIXED JIS A 5308 NORMAL S,1
C211,236220.0,"ORDER #GS-P-05-16-FD-7017 FOR CONSTRUCTION MANAGEMENT SERVICES FOR THE 536 S. CLARK STREET AND JOHN C. KLUCZYNSKI FEDERAL OFFICE BUILDING TENANTS OFFICE BUILDOUTS AND GENERAL BUILDING MODIFICATIONS - MODIFICATION PS06 - TIME EXTENSION.  THE SUBJECT MODIFICATION, PS06, HEREBY ISSUES AS A SUPPLEMENTAL AGREEMENT BETWEEN CONSTRUCTION SUPPORT SOLUTIONS (CSS) AND THE GENERAL SERVICES ADMINISTRATION (GSA) TO INCORPORATE A TIME EXTENSION OF THE CONTRACT AT THE FIRM FIXED PRICE OF $24,409.00. THIS TIME EXTENSION WIL",1
AN41,541990.0,INCREMENTAL FUNDING,1
Z1BG,237130.0,"PKA - SUBSTATION RELAY, NO COST TIME EXTENSION MOD FOR CYBER SECURITY DOCUMENTATION.",1
7E20,334111.0,26 HP ZBOOK FURY 15 G9 MOBILE WORKSTATION PCS REQUIRED.,1
D304,541519.0,IGF::OT::IGF - HAFC WIRELESS SERVICE EXERCISE OF OPTION 1 FOR YEAR 2 SERVICES,1
1555,336414.0,GLOBAL POSITIONING SYSTEM (GPS) III FOLLOW-ON PRODUCTION,1
D319,541519.0,LOGIQUEST BASE GOVERNMENT LICENSE,1
DD01,541519.0,EO14026 - TASK ORDER TO RENEW MAINTENANCE AND SUPPORT SERVICES VERITAS NETBACKUP PER PERPETUAL LICENSES AND TO OBTAIN VERITAS NETBACKUP PERPETUAL LICENSES AND SUPPORT FOR DATA STORAGE.  ESSENTIAL 12 MONTHS RENEWAL FOR NETBACKUP PLATFORM BASE COMPLE,1
Y1JZ,236220.0,"NAVFAC NORTHWEST, 8(A) SMALL MACC, EXERCISE OF OPTION PERIOD 2.",1
R408,541519.0,"IN ACCORDANCE WITH FAR 4.804-4 AND THE RELEASE OF CLAIMS FROM THE VENDOR,  BPA CALL MODIFICATION TO CLOSE OUT THE CONTRACT. THIS REQUIREMENT IS FOR FINANCIAL, CONTRACT WRITING, AND REPORTING SYSTEM SUPPORT FOR INL'S EXECUTIVE OFFICE IN WASHINGTON, DC",1
N059,541512.0,"TO PROVIDE ALL LABOR, MATERIALS, EQUIPMENT, TOOLS, TRANSPORTATION, SUPERVISION, AND ANY OTHER ITEMS NECESSARY FOR THE PREVENTIVE AND CORRECTIVE MAINTENANCE OF FIRE AND LIFE SAFETY SYSTEMS, MASS NOTIFICATION SYSTEMS (MNS), AND OTHER ASSOCIATED SYSTEMS. SEE THE APPLICABLE ATTACHMENTS FOR A COMPREHENSIVE LISTING OF THE SPECIFIC MAINTENANCE REQUIREMENTS. THE CONTRACTOR SHALL HAVE THE APPROPRIATE LICENSES, CERTIFICATIONS, PROPRIETARY TOOLS, AND EXPERTISE TO PERFORM DUTIES AS REQUIRED.  THE CONTRACTOR SHALL PROVI",1
V999,488490.0,THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDS TO CLIN 00040 VIA CLIN 00060.,1
5999,334419.0,IGF::OT::IGF WAVEGUIDE SWITCH,1
R499,541990.0,"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO JUNE 15, 2019 AT NO ADDITIONAL COST TO THE GOVERNMENT.   CONFLICT PREVENTION AND RESOLUTION SERVICES CONTRACT",1
Y1AZ,236220.0,"THIS MODIFICATION IS ISSUED TO INCORPORATE THE CONTRACT CHANGES IDENTIFIED HEREIN.   THIS IS IN SUPPORT OF THE EXPANSION&RECONFIGURATION PROJECT, PHASE 3 AT THE SAN YSIDRO LAND PORT OF ENTRY IN SAN DIEGO, CA.  DEFINITIZE MODIFICATION PC34 IN THE AMOUNT OF $1,248,352.00.&LT;$1,648.00&GT;  DEFINITIZE MODIFICATION PC73 IN THE AMOUNT OF $116,937.00.&LT;$32,963.00&GT;  THIS MODIFICATION WILL DEOBLIGATE AND REDUCE THE TOTAL CONTRACT IN THE AMOUNT OF&LT;$34,611.00&GT;.  NO CONTRACT TIME EXTENSION IS GRANTED. THIS ",1
5935,334417.0,"4610064043!CONNECTOR,PLUG,ELEC",1
5680,423610.0,4539817863!WAREHOUSE BOLLARDS - PHASE II - 1220 RR,1
D399,541519.0,"MOD P00009 OBLIGATES FUNDING FOR CONTINUED SUPPORT THROUGH 4/30/2022. PROGRAM AND SECURITY MANAGEMENT SUPPORT, OCIO/ISC.",1
6680,334513.0,"8507797211!FLOAT,SIGHT INDICAT",1
7030,334111.0,SOFTWARE: MICROSOFT AZURE CLOUD CONSUMPTION FOR OITO/EHD,1
5910,334416.0,"8508266134!CAPACITOR,FIXED,ELE",1
R799,541519.0,A HYBRID FFP AND T&M DIRECT AWARD CONTRACT TO A SMALL BUSINESS ADMINISTRATION (SBA) APPROVED NATIVE ALASKAN CORPORATION AND CERTIFIED 8(A) BUSINESS FOR PROVIDING TIER II SUPPORT SERVICES.  OP3 07/15/2023 - 07/14/2024,1
D302,541511.0,"REAC SEEKS TO CREATE COMPREHENSIVE TRAINING AND PERFORMANCE MANAGEMENT PROGRAM. THE CONTRACT WILL DEVELOP THE TRAINING AND PERFORMANCE MANAGEMENT PROGRAM, TRANSITION INTO THE LEARNING MANAGEMENT (LMS) AND CREATE A NEW LMS.",1
7B22,334111.0,HP COLOR LASER JET PRINTER,1
D320,541519.0,IT AND TELECOM HARDWARE MAINTENANCE SERVICE,1
Y1EB,236220.0,CIVIL ENGINEERING SQUADRON REPAIR CENTRALIZED REPAIR FACILITY (CRF) BUILDING P-17.  CONSTRUCTION PROJECT TO UPGRADE INTERIOR AND EXTERIOR OF HANGAR TO SUPPORT ENGINE REPAIR FUNCTION.,1
D320,334111.0,NFC NETWORK INTRUSION DETECTION MONITORING SERVICES MOD 0001 - THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION YEAR 1.,1
R425,541690.0,"IGF::OT::IGF PROJECT FACILITATION (PF) SERVICES FOR ENERGY SAVINGS PERFORMANCE CONTRACT PROJECT PF 422, BUREAU OF PRISONS, BUTNER, NORTH CAROLINA  THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION PERIOD 4. ___",1
U008,611710.0,IGF::OT::IGF DE-OBLIGATION OF FUNDS. BY DIRECTION AND AUTHORITY OF THE MEMO FROM FEMA CFO,1
R408,541690.0,FISCAL YEAR 2014 OVARIAN CANCER RESEARCH PROGRAM GENERAL PROGRAM SUPPORT,1
B503,541690.0,"UMA CULTURAL RESOURCE INVENTORY (TIGER MILL) - MODIFICATION EXTENDING THE PERIOD OF PERFORMANCE 3 MONTHS HERITAGE SURVEY - SURVEY BLOCK 1-6, 8, 9, 11, 12, 15, 16, 18-21, TOTALING 1472 ACRES. HERITAGE SURVEY - FINAL REPORT",1
J075,532420.0,"ADMINSTRATIVE CHANGES  OMNI BUSINESS SYSTEMS MAINTAINANCE&SUPPLIES AGREEMENT FOR USDA HP LASERJET FLOW MFP M830, BLACK&WHITE COPIER, #MXBCH6C164, IN SUPPORT OF THE AREA DIRECTOR OFFICE AT USDA ARS, PWA AAO, ALBANY, CA  THIS ORDER IS A",1
6515,513210.0,PENVASC VASCULAR INFORMATION SYSTEM (VIS) - SECONDARY SITE SERVER LICENSE,1
Z2AA,236220.0,"SENATOR FETTERMAN'S OFFICE RENOVATION, PITTSBURGH, PA MODIFICATION PA0004 UPDATES FUNDING FIXED ASSET RPA79097PA0233ZZ INFORMATION FROM CIPIMP TO IMPROVMNT IN THE ACCOUNTING LINES OF THIS AWARD. AWARD VALUE REMAINS $151,381.76.",1
5680,423610.0,"4564252749!GLOVES, WORK, MULTI-PURPOSE, LARGE",1
5680,423610.0,4541318653!ER,1
D318,541519.0,VARONIS DATVANTAGE,1
5680,423610.0,4557446056!WALL MOUNT MIXING FAUCET WITH POLISHED C,1
Z2DA,236220.0,"IGF::OT::IGF PROVIDE FOR AN EQUITABLE ADJUSTMENT TO THE CONTRACT TO INCLUDE ALL DESIGN, CONSTRUCTION, AND OUTFITTING SERVICES AS REQUIRED TO PERFORM THE FOLLOWING SCOPE CHANGES: A.REDESIGN FLIGHT MEDICINE PRP TECH AREA 1A39 PER THE ATTACHED DRAWING. B.REDESIGN PRP ADMIN ROOM 1A19 PER THE ATTACHED DRAWING. COORDINATE REMOVAL OF FILE STORAGE UNITS FROM ROOM 1A19 WITH MDG COMMAND. C.REVIEW PLANS AND CONFIRM ALL C/C/S CAN BE MET. D.PROVIDE REVISED PLANS FOR GOVERNMENT REVIEW. UPON REVIEW AND  ACCEPTANCE BY GOVE",1
J075,532420.0,IGF::OT::IGF MAINTENANCE AGREEMENT FOR COPIER. CANON IMAGE RUNNER,1
Y1JZ,236220.0,OTHER FUNCTIONS: (ITEM #1) (REQ #3033901) - WR # C100919  RENOVATE STAFF MEN & WOMEN SHOWER AREA; BLDG 10; JEFFREY WALTON 292201000010I  DELIVER TO: NIH CAMPUS  PRODUCT SERVICE CODE:  Y1JZ PRODUCT/SERVICE DESCRIPTION: CONSTRUCTION OF MISCELLA,1
5680,423610.0,"4557341697!TAILPIECE, ENTENSION, SLIP JOINT, BRASS,",1
R497,541690.0,"THE PURPOSE OF THIS MODIFICATION IS TO ADD $16,841.99 IN INCREMENTAL FUNDING AS FOLLOWS:   1) $1,007.44 TO CLIN 002 MANAGEMENT ANALYST 1 2) $3,714.41 TO CLIN 003 MANAGEMENT ANALYST 2 3) $2,120.14 TO CLIN 004 MANAGEMENT ANALYST 3  4) $10,000.00 TO C",1
Z2AA,236220.0,"IGF::OT::IGF.  B K M CONSTRUCTION LLC, 501 S 5TH STREET, LEAVENWORTH, KS66048-2610.  CONTRACTOR WILL PROVIDE CONSTRUCTION SERVICES FOR CARPETING AND PAINTING IN COURTROOMS; COURTROOM DOOR EGRESS FOR CHARLES EVANS WHITTAKER USCH, 400 E. 9TH, KCMO 64106",1
5975,335932.0,"8505653281!PLATE,ELECTRICAL GR",1
Y1AZ,236220.0,AWARD OF 47PK1724F0027 - DEA 20TH FLOOR CONFERENCE ROOM AC UNIT REPLACEMENT,1
Y1PZ,236220.0,ND-DEVILS LAKE WMD-INSTALLATION OF SHADE,1
1220,334418.0,"CABLE ASSY,SPECIAL",1
7B21,334111.0,SERVERS,1
6605,335999.0,"RODMETER,UNDERWATER",1
J066,334516.0,IGF::CT::IGF   REPAIR OF API-3200 TRIPLE QUADRUPOLE MASS SPECTROMETER,1
B599,541512.0,"THIS ORDER IS MODIFIED AS FOLLOWS: INCREASE QUANTITY IN LINE ITEM #0001 FROM 1,000 TO 1,021, INCREASE UNIT PRICE IN LINE ITEM #0002 FROM $18,900.00 TO $19,296.90 AND CORRECT TOTAL AMOUNT FROM $19,041.75 TO $19,441.63. ALL TERMS AND CONDITIONS REMAIN THE SAME.  TELERADIOLOGY XRAY READING SERVICES   DJBP0700NAS111",1
5945,335314.0,"8508795763!BASE,ELECTRICAL REL",1
5998,335999.0,FIBER OPTIC SUPPORT,1
R799,541512.0,"IGF::OT::IGF  INFORMATION TECHNOLOGY SUPPORT FOR THE SCIENCE MISSION DIRECTORATE.  THE PURPOSE OF THIS ORDER IS TO FACILITATE INFORMATION TECHNOLOGY FOR THE NASA SCIENCE PROGRAM  THE FOCUS WILL BE ON INTEGRATION OF IT SYSTEMS, PROCESSES AND OPERATIONS ACROSS THE DIRECTORATE AND CREATING SCIENCE NEWS STORIES, DEVELOP PROJECT STORYBOARDING, GRAPHIC AND PRINT DESIGN.",1
6630,334516.0,"MODIFICATION NO. ONE (1) TO EXERCISE OPTION YR. ONE (1).  PERIOD OF PERFORMANCE 1/01/2018 TO 12/31/2018.  CHANGE FUNDING FOR OPTION YEAR ONE (1) IN THE AMOUNT OF $25,975.95 TO $51,951.91  CORRECT CLAUSES FROM FOLDER WILL EMAILED TO VENDOR ALSO.   CLAUSES WILL BE SENT WITH THIS MOD.",1
5680,423610.0,"4554701995!AC, SPLIT SYSTEM, CASSETTE TYPE, DAIKIN",1
5680,423610.0,4560327775!DAIKIN AGZ051E 50 TON AIR COOLED SCROLL,1
5999,334416.0,"8506898559!CONTACT,ELECTRICAL",1
6640,334516.0,"AT30389239 TIP, RAININ RT-L-200F, LTS 200 UL FILTER  PLEASE ORDER FROM PIPETTE.COM HTTPS://WWW.PIPETTE.COM/LR-250S-PIPETTE-COM-TIPS-FOR-RAININ-LTS-200- %C2%B5L-RACKED-STERILE-TIPS-96-TIPS-RACK-10-RACKS-PACK-PACK-OF-960-TIPS VENDOR ITEM NUMBER LR",1
5935,334417.0,"8508454376!CONNECTOR,RECEPTACL",1
J061,334511.0,REPAIR OF ASSETS APPL TO AYQ-12 (CC-2E),1
N099,237130.0,THIS IS A REQUEST TO PURCHASE ACRX TOWER INSTALLATION SERVICES FOR MULTIPLE SITES. THE VIDEO SURVEILLANCE UNIT (VSU) HAS A CONTRACT IN PLACE WITH MULTIPLE VENDORS TO PROCURE THESE SERVICES BASED ON LOCATION AND SIZE OF,1
5810,334310.0,JEMEZ CCTV REPLACEMENT CHANGE COR TO WARREN ARMIJO,1
R408,541990.0,"THE CONTRACTOR WILL BUILD ON THE SUCCESSFUL TECHNICAL ASSISTANCE PROVIDED TO THE CABINET OF THE DPM THROUGH THE CEP PROJECT AND WILL FURTHER STRENGTHEN THE COLLABORATION, COMMUNICATION, AND COORDINATION WITH OTHER RELEVANT INSTITUTIONS. IT IS ESSENTI",1
DG01,541511.0,NETWORK OPERATIONS SECURITY CENTER (NOSC)(CYBERSECURITY),1
6760,325992.0,CAMERA KITS FOR PUBLIC AFFAIRS OFFICE,1
Y1FA,236220.0,IGF::OT::IGF OK013 MOVE CCD TO 11 OCT 2018,1
AC61,488190.0,THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE AND RE-ALIGN FUNDING IN ORDER TO CLOSEOUT THE TASK ORDER.,1
R425,541990.0,"TASK ORDER NO. 47PA0117F0054  ISSUED AGAINST CONTRACT NO. GS-11P14MKD0059 WHICH PROVIDES PBS P100 USER'S GUIDE IS HEREBY MODIFIED TO EXTEND THE PERIOD OF PERFORMANCE ON THIS CONTRACT FOR AN ADDITIONAL THREE-MONTH PERIOD TO DEVELOP THE USER'S GUIDE CONTENT AND ITS ILLUSTRATIVE PICTURES.   AS A RESULT OF THIS MODIFICATION, THE COMPLETION DATE IS EXTENDED FROM SEPTEMBER 27, 2018 TO DECEMBER 28, 2018.  THERE IS NO COST ASSOCIATED WITH THIS MODIFICATION TO EXTEND THE COMPLETION DATE OF THIS TASK ORDER NO. 47PA01",1
7A21,334111.0,"TABLEAU - VIEWER (SERVER) TABLEAU SOFTWARE, TABLEAU - DATA MGMT (SERVER) (LP) TABLEAU PO# 4522212477",1
5680,423610.0,4561083506!PALINTEST AP013 FREE CHLORINE / BROMINE,1
5831,334290.0,AV/VTC HARDWARE INSTALLATION,1
Y1NE,237110.0,"IGF::OT::IGF P00001 C-003 NTE/NTP EXISTING 16"" WATERLINE CONFLICTS",1
R499,541990.0,"NATIONAL INSTITUTE OF HEALTH (NIH), NATIONAL INSTITUTE OF MINORITY HEALTH AND HEALTH DISPARITIES (NIMHD), EXPLORING CIGAR SMOKING BELIEFS AMONG BLACK/AFRICAN  AMERICAN YOUNG ADULTS STUDY (SCIENTIFIC SUPPORT)  S4 MSC TO# 127 NIMHD",1
DA10,541511.0,ISSUE A  NEW BASE PLUS FOUR (04) YEARS CALL ORDER UTILIZING THE OST  SWES BPA FOR THE CRASH DATA ACQUISITION NETWORK (CDAN) OPERATION AND  INFORMATION MAINTENANCE TECHNOLOGY CONTRACT TO MAINTAIN OPERATIONS.,1
DF10,541519.0,VOCERA SUPPORT SERVICES AND LICENSE RENEWAL,1
5999,335932.0,8508811503!,1
AC53,336419.0,"GEOINT UNIFIED NAVAL STREAMING SYSTEM (GUNNS) TEST AND EVALUATION TECHNOLOGIES FOR RANGES, ARMAMENTS AND SPECTRUM (TETRAS)",1
5935,335931.0,"8505316682!BACKSHELL,ELECTRICA",1
7035,334111.0,MONOCHROME PRINTER,1
5680,423610.0,"4543022193!PLYWOOD, HIGH DENSITY OVERLAY (HDO), 3/4",1
Z1AA,236220.0,IGF::OT::IGF GRCA FEE OFFICE REHAB MOD 0004 TO INCORPORATE CHANGE ORDER #4 MOD 0003 TO INCORPORATE CHANGE ORDER #3 MOD 0002 TO INCORPORATE CHANGE ORDER #2 AND EXTEND THE POP MOD 0001 TO INCORPORATE CHANGE ORDER #1,1
6640,541990.0,"ORDER UNDER EXISTING SPEC CONTRACT. DRFM PURCHASE OF UNITS AND UPGRADES. BUNDLE C WHICH INCLUDES: 1 T4000 ULTRA, 1 OF ANY PREVIOUSLY DELIVERED BLADE PRODUCT, DYNAMIC KERNEL/CHANNEL, AMPLITUDE TRACKER,  NOISE GENERATION/COVER PULSE - MOD FOR NCE",1
5825,334418.0,"ADD CLINS 3017 AND 4017 FOR SPARE PARTS TO THE CONTRACT FOR THE REMAINING OPTIONS YEARS AND INCREASE QUANTITY ON CLINS 3001, 3002, 3003, 3004, 3007, 3008, 3009, 3010, 4001, 4002, 4003, 4004, 4007, 4008, 4009, AND 4010.",1
5680,423610.0,"4543573517!GREEN VINYL COVER, 8' X 9'-6""",1
J066,334516.0,AGILENT CROSSLAB SERVICE AGREEMENT - TOXICOLOGY LABORATORY,1
Y1PZ,237990.0,"IGF::OT:IGF  LSAR, R9 P4  CONTRACT FOR SANTA ANA RIVER MAINSTEM, LOWER SANTA ANA RIVER CHANNEL, SAR REACH 9 PHASE 4 AT ORANGE COUNTY, CALIFORNIA.  REFERENCE NO. R00008 WN014 ADDITIONAL ASPHALT REMOVAL  TOTAL CONTRACT PRICE IS INCREASED BY $92,246.00. THE CONTRACT COMPLETION DATE SHALL REMAIN UNCHANGED BY THIS MODIFICATION.",1
DG01,541513.0,GSM-O II INTEGRATION SERVICES,1
Z2AA,236220.0,"THE PURPOSE OF THIS MODIFICATION IS TO INCREASE THE AMOUNT OF AND EXTEND THE COMPLETION DATE OF AWARD 47PG0519F0008.  MODIFICATION PS02 IS HEREBY ISSUED TO INCREASE THE ORDER PRICE BY $2,457.00, AND EXTEND THE COMPLETION DATE TO 02/22/2019.  THIS PRICE INCREASE AND TIME EXTENSION ARE DUE TO AN ADDITIONAL CPU AND MONITOR NEEDED TO COMPLETE THE PROJECT.  THE CONTRACTOR'S SIGNED PROPOSAL DATED 01/15/2019 IS HEREBY INCORPORATED BY REFERENCE.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",1
D318,541690.0,IGF::OT::IGF STATISTICAL TIME-SERIES DATABASE ACCESS,1
Z1LB,115310.0,SUPPLY AND APPLY CHLORIDE DUST ABATEMENT ON 29.2 MILES OF ROAD ON THE SALMON-CHALLIS NATIONAL FOREST HAS A COMPANION PROJECT FOR WATERING SERVICES [RQ #1090445].  CONTRACTS TO RUN CONCURRENT WITH COORDINATED WORK SCHEDULE.,1
9515,488190.0,8509865972!,1
B546,541690.0,"THE PURPOSE OF THIS MODIFICATION IS TO IDENTIFY A NEW CONTRACTING OFFICER'S REPRESENTATIVE (COR) UNDER THE SUBJECT CONTRACT.  AS A RESULT OF THIS MODIFICATION, THE COR IS HEREBY CHANGED TO DEBRA C. MACPHEE (SEE PARAGRAPH DOSAR 652.242-70).",1
1560,488190.0,8506330183!STIFFENER,1
6625,334515.0,REQUIREMENTS FOR THE SPECTRUM ANALYZER.,1
5680,423610.0,4546936580!FY STOREFRONT MONTHLY LABOR BILLING  PUR,1
7E20,541519.0,"8508380703!JOYSTICK,DATA ENTRY",1
6120,335311.0,"8508834590!TRANSFORMER,POWER",1
R499,541511.0,MODIFICATION P00014 - ADD FUNDING,1
F014,115310.0,2021 BARLOW MECHANICAL FUELS REDUCTION MODIFICATION P00005: NO-COST TIME EXTENSION TO 12-31-2023,1
D399,541511.0,"THIS IS FOR SOFTWARE ENGINEERING MANAGEMENT SUPPORT, TECHNICAL EXPERTISE, AND ASSISTANCE FOR T HE ENTIRE LIFE CYCLE OF AN ASSIGNED SYSTEM FROM CONCEPT EXPLORATION TO THE SUPPORT OF THE FIELDED OF THESE SYSTEMS.",1
Z1AA,236220.0,"RESTORE ROOF & REPLACE HVAC SECURITY, BLDG. 212- TRACEN YORKTOWN",1
5985,334220.0,"8505887701!ELEVATOR,ANTENNA",1
